measurement_id,geometry_id,x,y,z,var_r,var_z
0,1224979236083778304,-31.0964985,7.45582438,80.0538025,1.25676092e-06,0.000224999996
1,1224979236083781888,-33.14468,7.94262743,88.6934128,0.00010885446,0.000224999996
2,1224979373522707712,-66.6754837,15.9338293,229.370987,2.2344746e-05,0.000224999996
3,1224979510961697536,-110.98999,26.3363266,415.183777,1.11061154e-05,0.000224999996
4,1297036830121665024,-160.470459,37.7854156,622.599976,0.000899999985,8.43614858e-37
5,1729382394349280768,-257.611908,59.696434,1030.6521,0.000405845465,1.44000006
6,1729382394349286144,-251.227173,58.2434731,1005.14001,4.63752476e-05,1.44000006
7,1801439988387154944,-320.556641,73.529747,1292.5,5.72879457,4.75410507e-34
8,1801439988387155456,-320.590546,73.6985855,1297.5,5.72652388,1.2671285e-34
9,1801440125826108416,-380.912445,86.6527939,1542.5,5.72725487,4.75410507e-34
10,1801440125826108928,-381.758087,86.7096786,1547.5,5.72877312,1.2671285e-34
11,1801440125826119168,-384.792664,87.4729309,1552.5,5.75999546,2.73930201e-34
12,1801440263265072640,-455.351196,102.337746,1852.5,5.75993633,2.73930201e-34
13,1801440400704037376,-535.720093,118.842934,2197.5,5.73289013,1.2671285e-34
14,1801440538142990848,-622.152954,135.849319,2547.5,5.7354455,1.2671285e-34
15,2161728645771566848,-801.453125,174.141495,2995.5,1.60709424e-05,1.83224471e-35
16,2161728645771567104,-802.069641,177.653549,2990.5,8.43550442e-05,1.79338136e-35
