identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.0002749	1.375e-05
Algorithm:ParticleSelector	7.09e-05	3.545e-06
Algorithm:FatrasSimulation	0.003836	0.0001918
Algorithm:DigitizationAlgorithm	0.001201	6.006e-05
Algorithm:SpacePointMaker	0.0002751	1.376e-05
Writer:CsvParticleWriter	0.002457	0.0001228
Writer:RootParticleWriter	0.0007699	3.85e-05
Writer:CsvParticleWriter	0.00185	9.248e-05
Writer:RootParticleWriter	0.0005885	2.943e-05
Writer:CsvSimHitWriter	0.00404	0.000202
Writer:RootSimHitWriter	0.0005566	2.783e-05
Writer:RootMeasurementWriter	0.001895	9.474e-05
Writer:CsvSpacepointWriter	0.003321	0.000166
Writer:RootSpacepointWriter	0.000258	1.29e-05
Writer:CsvParticleWriter:endRun	7.9e-08	3.95e-09
Writer:RootParticleWriter:endRun	0.111	0.005548
Writer:CsvParticleWriter:endRun	2.12e-07	1.06e-08
Writer:RootParticleWriter:endRun	0.03335	0.001668
Writer:CsvSimHitWriter:endRun	1.21e-07	6.05e-09
Writer:RootSimHitWriter:endRun	0.04451	0.002225
Writer:RootMeasurementWriter:endRun	0.02226	0.001113
Writer:CsvSpacepointWriter:endRun	2.98e-07	1.49e-08
Writer:RootSpacepointWriter:endRun	0.03337	0.001668
