particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,-1143.15759,-371.476532,3918.90527,13.9166555,-2.64820766,-1.23947966,9.68562126,0.105658367,-1
4503599660924928,13,0,-1193.83313,139.880661,500.34314,4.45774841,-3.38901377,0.0342374407,1.6134057,0.105658367,-1
9007199271518208,13,0,-351.18985,-489.493866,4002,10.9109545,-3.05431628,-4.56725121,35.9588776,0.105658367,-1
9007199288295424,13,0,-1005.08496,659.248169,1100.08618,2.92402434,-2.18228292,1.00047445,2.07224965,0.105658367,-1
13510798898888704,-13,0,-1028.08984,622.76416,165.552078,8.33065987,-5.87873745,3.98246479,0.979022861,0.105658367,1
13510798915665920,-13,0,-448.153839,1115.33057,-225.497421,8.39449596,-0.31846872,1.75915384,-0.33272019,0.105658367,1
18014398526259200,13,0,-1063.32605,-560.483337,-939.694458,-0.295412898,-2.52469015,-1.7381413,-2.37088943,0.105658367,-1
18014398543036416,-13,0,378.550476,-1140.83459,1104.422,0.0866714343,1.63629508,-6.07544184,5.81875849,0.105658367,1
22517998153629696,13,0,-868.682068,-830.78009,401.802948,5.23305035,-4.50068045,-4.80288982,1.86249149,0.105658367,-1
22517998170406912,-13,0,125.048264,1195.47766,1335.03882,6.91426945,0.652664661,2.77574277,3.01302385,0.105658367,1
27021597781000192,-13,0,584.906799,227.817261,-4002,13.4439106,7.25908279,2.62543106,-49.367382,0.105658367,1
27021597797777408,-13,0,-667.437561,-999.665527,-478.031372,4.22309923,-3.8973093,-5.18805552,-2.64688897,0.105658367,1
31525197408370688,-13,0,876.25531,822.78833,-372.773254,4.20663595,5.60661173,4.77041435,-2.0731647,0.105658367,1
31525197425147904,13,0,-921.046875,772.31897,726.103638,4.83494043,-1.23372793,0.564243376,0.847710907,0.105658367,-1
36028797035741184,-13,0,-936.632751,-147.186981,4002,16.6282101,-6.77920723,-0.777498007,28.405302,0.105658367,1
36028797052518400,-13,0,20.9174442,-1201.81799,-3527.57446,15.6877394,-0.282498777,-4.47752333,-13.3538141,0.105658367,1
40532396663111680,13,0,1083.9292,519.520508,-609.070984,9.22576523,7.71153164,4.09582949,-4.12598467,0.105658367,-1
40532396679888896,13,0,1201.94922,-11.0510054,-2296.62793,13.3164339,7.40425491,0.292360693,-13.9004478,0.105658367,-1
45035996290482176,-13,0,373.742859,-1142.41858,-553.166687,3.7317481,0.628120124,-3.0789938,-1.49573243,0.105658367,1
45035996307259392,-13,0,1171.97766,-266.968628,-464.522736,3.60880351,3.86019325,-1.24890316,-1.63405824,0.105658367,1
